company,sector,priority,country_focus,target_roles,why_monitor,search_query_pt,search_query_en,ats_hint
Afinz,"Fintech, bancos, crédito e pagamentos",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Afinz carreiras vagas dados engenharia de dados analytics,Afinz careers data engineer analytics Brazil,auto-detect
Agibank,"Fintech, bancos, crédito e pagamentos",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Agibank carreiras vagas dados engenharia de dados analytics,Agibank careers data engineer analytics Brazil,auto-detect
Asaas,"Fintech, bancos, crédito e pagamentos",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Asaas carreiras vagas dados engenharia de dados analytics,Asaas careers data engineer analytics Brazil,auto-detect
Avenue,"Fintech, bancos, crédito e pagamentos",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Avenue carreiras vagas dados engenharia de dados analytics,Avenue careers data engineer analytics Brazil,auto-detect
B3,"Fintech, bancos, crédito e pagamentos",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",B3 carreiras vagas dados engenharia de dados analytics,B3 careers data engineer analytics Brazil,auto-detect
Banco BMG,"Fintech, bancos, crédito e pagamentos",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Banco BMG carreiras vagas dados engenharia de dados analytics,Banco BMG careers data engineer analytics Brazil,auto-detect
Banco Bradesco,"Fintech, bancos, crédito e pagamentos",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Banco Bradesco carreiras vagas dados engenharia de dados analytics,Banco Bradesco careers data engineer analytics Brazil,auto-detect
Banco BV,"Fintech, bancos, crédito e pagamentos",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Banco BV carreiras vagas dados engenharia de dados analytics,Banco BV careers data engineer analytics Brazil,auto-detect
Banco Digio,"Fintech, bancos, crédito e pagamentos",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Banco Digio carreiras vagas dados engenharia de dados analytics,Banco Digio careers data engineer analytics Brazil,auto-detect
Banco do Brasil,"Fintech, bancos, crédito e pagamentos",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Banco do Brasil carreiras vagas dados engenharia de dados analytics,Banco do Brasil careers data engineer analytics Brazil,auto-detect
Banco Inter,"Fintech, bancos, crédito e pagamentos",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Banco Inter carreiras vagas dados engenharia de dados analytics,Banco Inter careers data engineer analytics Brazil,auto-detect
Banco Mercantil,"Fintech, bancos, crédito e pagamentos",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Banco Mercantil carreiras vagas dados engenharia de dados analytics,Banco Mercantil careers data engineer analytics Brazil,auto-detect
Banco Original,"Fintech, bancos, crédito e pagamentos",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Banco Original carreiras vagas dados engenharia de dados analytics,Banco Original careers data engineer analytics Brazil,auto-detect
Banco Pan,"Fintech, bancos, crédito e pagamentos",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Banco Pan carreiras vagas dados engenharia de dados analytics,Banco Pan careers data engineer analytics Brazil,auto-detect
Banco Safra,"Fintech, bancos, crédito e pagamentos",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Banco Safra carreiras vagas dados engenharia de dados analytics,Banco Safra careers data engineer analytics Brazil,auto-detect
Banrisul,"Fintech, bancos, crédito e pagamentos",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Banrisul carreiras vagas dados engenharia de dados analytics,Banrisul careers data engineer analytics Brazil,auto-detect
BizCapital,"Fintech, bancos, crédito e pagamentos",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",BizCapital carreiras vagas dados engenharia de dados analytics,BizCapital careers data engineer analytics Brazil,auto-detect
Boa Vista SCPC,"Fintech, bancos, crédito e pagamentos",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Boa Vista SCPC carreiras vagas dados engenharia de dados analytics,Boa Vista SCPC careers data engineer analytics Brazil,auto-detect
BTG Pactual,"Fintech, bancos, crédito e pagamentos",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",BTG Pactual carreiras vagas dados engenharia de dados analytics,BTG Pactual careers data engineer analytics Brazil,auto-detect
C6 Bank,"Fintech, bancos, crédito e pagamentos",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",C6 Bank carreiras vagas dados engenharia de dados analytics,C6 Bank careers data engineer analytics Brazil,auto-detect
Caixa Econômica Federal,"Fintech, bancos, crédito e pagamentos",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Caixa Econômica Federal carreiras vagas dados engenharia de dados analytics,Caixa Econômica Federal careers data engineer analytics Brazil,auto-detect
Celcoin,"Fintech, bancos, crédito e pagamentos",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Celcoin carreiras vagas dados engenharia de dados analytics,Celcoin careers data engineer analytics Brazil,auto-detect
Clear Corretora,"Fintech, bancos, crédito e pagamentos",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Clear Corretora carreiras vagas dados engenharia de dados analytics,Clear Corretora careers data engineer analytics Brazil,auto-detect
CloudWalk,"Fintech, bancos, crédito e pagamentos",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",CloudWalk carreiras vagas dados engenharia de dados analytics,CloudWalk careers data engineer analytics Brazil,auto-detect
Conta Simples,"Fintech, bancos, crédito e pagamentos",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Conta Simples carreiras vagas dados engenharia de dados analytics,Conta Simples careers data engineer analytics Brazil,auto-detect
Cora,"Fintech, bancos, crédito e pagamentos",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Cora carreiras vagas dados engenharia de dados analytics,Cora careers data engineer analytics Brazil,auto-detect
Creditas,"Fintech, bancos, crédito e pagamentos",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Creditas carreiras vagas dados engenharia de dados analytics,Creditas careers data engineer analytics Brazil,auto-detect
Credsystem,"Fintech, bancos, crédito e pagamentos",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Credsystem carreiras vagas dados engenharia de dados analytics,Credsystem careers data engineer analytics Brazil,auto-detect
Cresol,"Fintech, bancos, crédito e pagamentos",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Cresol carreiras vagas dados engenharia de dados analytics,Cresol careers data engineer analytics Brazil,auto-detect
CVM,"Fintech, bancos, crédito e pagamentos",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",CVM carreiras vagas dados engenharia de dados analytics,CVM careers data engineer analytics Brazil,auto-detect
Dock,"Fintech, bancos, crédito e pagamentos",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Dock carreiras vagas dados engenharia de dados analytics,Dock careers data engineer analytics Brazil,auto-detect
EBANX,"Fintech, bancos, crédito e pagamentos",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",EBANX carreiras vagas dados engenharia de dados analytics,EBANX careers data engineer analytics Brazil,auto-detect
FitBank,"Fintech, bancos, crédito e pagamentos",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",FitBank carreiras vagas dados engenharia de dados analytics,FitBank careers data engineer analytics Brazil,auto-detect
Genial Investimentos,"Fintech, bancos, crédito e pagamentos",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Genial Investimentos carreiras vagas dados engenharia de dados analytics,Genial Investimentos careers data engineer analytics Brazil,auto-detect
Grafeno,"Fintech, bancos, crédito e pagamentos",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Grafeno carreiras vagas dados engenharia de dados analytics,Grafeno careers data engineer analytics Brazil,auto-detect
Gyra+,"Fintech, bancos, crédito e pagamentos",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Gyra+ carreiras vagas dados engenharia de dados analytics,Gyra+ careers data engineer analytics Brazil,auto-detect
InfinitePay,"Fintech, bancos, crédito e pagamentos",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",InfinitePay carreiras vagas dados engenharia de dados analytics,InfinitePay careers data engineer analytics Brazil,auto-detect
Itaú Asset,"Fintech, bancos, crédito e pagamentos",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Itaú Asset carreiras vagas dados engenharia de dados analytics,Itaú Asset careers data engineer analytics Brazil,auto-detect
Itaú BBA,"Fintech, bancos, crédito e pagamentos",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Itaú BBA carreiras vagas dados engenharia de dados analytics,Itaú BBA careers data engineer analytics Brazil,auto-detect
Itaú Unibanco,"Fintech, bancos, crédito e pagamentos",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Itaú Unibanco carreiras vagas dados engenharia de dados analytics,Itaú Unibanco careers data engineer analytics Brazil,auto-detect
Iugu,"Fintech, bancos, crédito e pagamentos",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Iugu carreiras vagas dados engenharia de dados analytics,Iugu careers data engineer analytics Brazil,auto-detect
Kanastra,"Fintech, bancos, crédito e pagamentos",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Kanastra carreiras vagas dados engenharia de dados analytics,Kanastra careers data engineer analytics Brazil,auto-detect
Losango,"Fintech, bancos, crédito e pagamentos",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Losango carreiras vagas dados engenharia de dados analytics,Losango careers data engineer analytics Brazil,auto-detect
Magnetis,"Fintech, bancos, crédito e pagamentos",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Magnetis carreiras vagas dados engenharia de dados analytics,Magnetis careers data engineer analytics Brazil,auto-detect
Mercado Pago,"Fintech, bancos, crédito e pagamentos",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Mercado Pago carreiras vagas dados engenharia de dados analytics,Mercado Pago careers data engineer analytics Brazil,auto-detect
Modalmais,"Fintech, bancos, crédito e pagamentos",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Modalmais carreiras vagas dados engenharia de dados analytics,Modalmais careers data engineer analytics Brazil,auto-detect
Méliuz,"Fintech, bancos, crédito e pagamentos",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Méliuz carreiras vagas dados engenharia de dados analytics,Méliuz careers data engineer analytics Brazil,auto-detect
Méu Tudo,"Fintech, bancos, crédito e pagamentos",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Méu Tudo carreiras vagas dados engenharia de dados analytics,Méu Tudo careers data engineer analytics Brazil,auto-detect
Neon,"Fintech, bancos, crédito e pagamentos",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Neon carreiras vagas dados engenharia de dados analytics,Neon careers data engineer analytics Brazil,auto-detect
Nubank,"Fintech, bancos, crédito e pagamentos",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Nubank carreiras vagas dados engenharia de dados analytics,Nubank careers data engineer analytics Brazil,auto-detect
Open Co,"Fintech, bancos, crédito e pagamentos",P0,Brasil,Dados; Analytics; Engenharia de Dados; BI; Analytics Engineering; IA/LLM,"Alta aderência ao perfil de dados, APIs, produto analítico, crédito, logística, SaaS ou automação.",Open Co carreiras vagas dados engenharia de dados analytics,Open Co careers data engineer analytics Brazil,auto-detect
